year,gender,ethnicity,name,count
2011,FEMALE,HISPANIC,GERALDINE,13
2011,FEMALE,HISPANIC,GIA,21
2011,FEMALE,HISPANIC,GIANNA,49
2011,FEMALE,HISPANIC,GISELLE,38
2011,FEMALE,HISPANIC,GRACE,36
2011,FEMALE,HISPANIC,GUADALUPE,26
2011,FEMALE,HISPANIC,HAILEY,126
2011,FEMALE,HISPANIC,HALEY,14
2011,FEMALE,HISPANIC,HANNAH,17
2011,FEMALE,HISPANIC,HAYLEE,17
2011,FEMALE,HISPANIC,HAYLEY,13
2011,FEMALE,HISPANIC,HAZEL,10
2011,FEMALE,HISPANIC,HEAVEN,15
2011,FEMALE,HISPANIC,HEIDI,15
2011,FEMALE,HISPANIC,HEIDY,16
2011,FEMALE,HISPANIC,HELEN,13
2011,FEMALE,HISPANIC,IMANI,11
2011,FEMALE,HISPANIC,INGRID,11
2011,FEMALE,HISPANIC,IRENE,11
2011,FEMALE,HISPANIC,IRIS,10
2011,FEMALE,HISPANIC,ISABEL,28
2011,FEMALE,HISPANIC,ISABELA,10
2011,FEMALE,HISPANIC,ISABELLA,331
2011,FEMALE,HISPANIC,ISABELLE,18
2011,FEMALE,HISPANIC,ISIS,13
2011,FEMALE,HISPANIC,ITZEL,27
2011,FEMALE,HISPANIC,IZABELLA,23
2011,FEMALE,HISPANIC,JACQUELINE,30
2011,FEMALE,HISPANIC,JADA,21
2011,FEMALE,HISPANIC,JADE,50
2011,FEMALE,HISPANIC,JAELYNN,11
2011,FEMALE,HISPANIC,JAMIE,11
2011,FEMALE,HISPANIC,JANELLE,12
2011,FEMALE,HISPANIC,JASLENE,11
2011,FEMALE,HISPANIC,JASMIN,20
2011,FEMALE,HISPANIC,JASMINE,41
2011,FEMALE,HISPANIC,JAYDA,10
2011,FEMALE,HISPANIC,JAYLA,33
2011,FEMALE,HISPANIC,JAYLAH,12
2011,FEMALE,HISPANIC,JAYLEEN,51
2011,FEMALE,HISPANIC,JAYLENE,22
2011,FEMALE,HISPANIC,JAYLIN,13
2011,FEMALE,HISPANIC,JAYLYN,10
2011,FEMALE,HISPANIC,JAZLYN,16
2011,FEMALE,HISPANIC,JAZMIN,24
2011,FEMALE,HISPANIC,JAZMINE,14
2011,FEMALE,HISPANIC,JENNIFER,59
2011,FEMALE,HISPANIC,JESSICA,46
2011,FEMALE,HISPANIC,JIMENA,11
2011,FEMALE,HISPANIC,JOCELYN,46
2011,FEMALE,HISPANIC,JOHANNA,12
2011,FEMALE,HISPANIC,JOSELYN,30
2011,FEMALE,HISPANIC,JULIA,22
2011,FEMALE,HISPANIC,JULIANA,16
2011,FEMALE,HISPANIC,JULIANNA,21
2011,FEMALE,HISPANIC,JULIET,20
2011,FEMALE,HISPANIC,JULIETTE,15
2011,FEMALE,HISPANIC,JULISSA,16
2011,FEMALE,HISPANIC,KAELYN,11
2011,FEMALE,HISPANIC,KAILEY,20
2011,FEMALE,HISPANIC,KAILYN,11
2011,FEMALE,HISPANIC,KAITLYN,31
2011,FEMALE,HISPANIC,KAMILA,36
2011,FEMALE,HISPANIC,KAREN,41
2011,FEMALE,HISPANIC,KARLA,25
2011,FEMALE,HISPANIC,KATE,27
2011,FEMALE,HISPANIC,KATELYN,23
2011,FEMALE,HISPANIC,KATELYNN,10
2011,FEMALE,HISPANIC,KATHERINE,60
2011,FEMALE,HISPANIC,KATIE,12
2011,FEMALE,HISPANIC,KAYLA,62
2011,FEMALE,HISPANIC,KAYLEE,83
2011,FEMALE,HISPANIC,KAYLEEN,19
2011,FEMALE,HISPANIC,KAYLEIGH,10
2011,FEMALE,HISPANIC,KAYLIE,15
2011,FEMALE,HISPANIC,KAYLIN,12
2011,FEMALE,HISPANIC,KEILY,17
2011,FEMALE,HISPANIC,KELLY,41
2011,FEMALE,HISPANIC,KEYLA,12
2011,FEMALE,HISPANIC,KHLOE,57
2011,FEMALE,HISPANIC,KIARA,36
2011,FEMALE,HISPANIC,KIMBERLY,103
2011,FEMALE,HISPANIC,KRYSTAL,13
2011,FEMALE,HISPANIC,KYLEE,10
2011,FEMALE,HISPANIC,KYLIE,37
2011,FEMALE,HISPANIC,LAILA,29
2011,FEMALE,HISPANIC,LAURA,14
2011,FEMALE,HISPANIC,LAUREN,21
2011,FEMALE,HISPANIC,LAYLA,52
2011,FEMALE,HISPANIC,LEA,10
2011,FEMALE,HISPANIC,LEAH,123
2011,FEMALE,HISPANIC,LEILA,20
2011,FEMALE,HISPANIC,LEILANI,33
2011,FEMALE,HISPANIC,LESLEY,12
2011,FEMALE,HISPANIC,LESLIE,66
2011,FEMALE,HISPANIC,LESLY,16
2011,FEMALE,HISPANIC,LEYLA,10
2011,FEMALE,HISPANIC,LIA,26
2011,FEMALE,HISPANIC,LIANA,18
2011,FEMALE,HISPANIC,LILIANA,28
2011,FEMALE,HISPANIC,LILY,21
2011,FEMALE,HISPANIC,LINDSAY,12
2011,FEMALE,HISPANIC,LIZBETH,30
2011,FEMALE,HISPANIC,LONDON,27
2011,FEMALE,HISPANIC,LUCIA,20
2011,FEMALE,HISPANIC,LUNA,24
2011,FEMALE,HISPANIC,LUZ,25
2011,FEMALE,HISPANIC,MADELINE,15
2011,FEMALE,HISPANIC,MADELYN,16
2011,FEMALE,HISPANIC,MADISON,122
2011,FEMALE,HISPANIC,MAKAYLA,32
2011,FEMALE,HISPANIC,MARIA,59
2011,FEMALE,HISPANIC,MARIAH,33
2011,FEMALE,HISPANIC,MARIANA,12
